model,project,dimension,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
GPT-4.1,BADCamp,Semantic,5,18.4,3.4351128074635335,11.4,0.8944271909999159,38.6,3.4351128074635335,165.6,0.8944271909999159,0.6138895962425375,0.04968654400416605,5,0.32280701754385965,0.06026513697304445,5,0.42210730446024564,0.062335612274038006,5,0.9355932203389831,0.005053260966101229,5,0.7863247863247863,0.015701857325533176,5,0.6292001189414214,0.0306048535643606,5,0.06440677966101695,0.005053260966101219,5,0.6771929824561403,0.060265136973044454,5,0.8111462260947969,0.013879096617022982,5,0.3310841737854926,0.06314263561275353,5
GPT-4.1,BADCamp,Syntactic,5,6.4,1.3416407864998738,5.0,0.7071067811865476,2.6,1.3416407864998738,171.0,0.7071067811865476,0.5571872571872571,0.07193352483736334,5,0.7111111111111111,0.14907119849998599,5,0.6228282828282828,0.1022290092369001,5,0.9715909090909091,0.004017652165832653,5,0.9589189189189189,0.008197703182758444,5,0.8413510101010101,0.07456266450300021,5,0.028409090909090908,0.004017652165832655,5,0.28888888888888886,0.14907119849998599,5,0.9850694723914729,0.007534894121153887,5,0.6076013898034729,0.10923872096789895,5
GPT-4.1,PlanningPoker,Pragmatic,5,5.0,1.4142135623730951,22.2,9.782637681116478,2.0,1.4142135623730951,267.8,9.782637681116478,0.2250685220324689,0.15739670418369978,5,0.7142857142857143,0.20203050891044216,5,0.322645926149664,0.1596859435821588,5,0.923448275862069,0.03373323338316025,5,0.9185185185185185,0.032765631315024545,5,0.8188669950738916,0.1005937685107529,5,0.07655172413793104,0.033733233383160276,5,0.2857142857142857,0.20203050891044214,5,0.9926186368680158,0.005243562033591484,5,0.3606846028573947,0.15405148659728538,5
GPT-4.1,PlanningPoker,Semantic,5,15.8,2.588435821108957,2.8,0.8366600265340756,12.2,2.588435821108957,167.2,0.8366600265340756,0.8514285714285714,0.023904572186687872,5,0.5642857142857143,0.09244413646817704,5,0.6745135263407689,0.06591626217591676,5,0.9835294117647059,0.004921529567847539,5,0.9242424242424242,0.01010101010101011,5,0.7739075630252101,0.04431662810488972,5,0.01647058823529412,0.004921529567847503,5,0.4357142857142857,0.09244413646817702,5,0.9321848661665277,0.013123300194106615,5,0.653450831058999,0.055943629377533645,5
GPT-4.1,PlanningPoker,Syntactic,5,0.0,0.0,0.0,0.0,8.0,0.0,142.0,0.0,,,0,0.0,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9466666666666667,0.0,5,0.5,0.0,5,0.0,0.0,5,1.0,0.0,5,0.9466666666666667,0.0,5,,,0
GPT-4.1,Zooniverse,Pragmatic,5,8.6,0.5477225575051661,9.8,1.9235384061671346,3.4,0.5477225575051661,308.2,1.9235384061671346,0.47092731829573936,0.05157216368629505,5,0.7166666666666667,0.04564354645876386,5,0.5673844435134757,0.04778057955161079,5,0.9691823899371069,0.006048862912475264,5,0.96,0.006569540420811751,5,0.8429245283018868,0.023996667638463517,5,0.030817610062893082,0.006048862912475264,5,0.2833333333333333,0.04564354645876383,5,0.9890878182392944,0.0017631527491866524,5,0.5612451456576549,0.0478313164977832,5
GPT-4.1,Zooniverse,Semantic,5,10.0,4.69041575982343,69.6,5.683308895353129,39.0,4.69041575982343,89.4,5.683308895353129,0.1230593755493354,0.047214955254926305,5,0.20408163265306123,0.09572277060864143,5,0.15324216630498136,0.06377185646790555,5,0.5622641509433962,0.03574408110284986,5,0.47788461538461535,0.030896671178960812,5,0.3831728917982287,0.046829200777382965,5,0.4377358490566038,0.03574408110284986,5,0.7959183673469388,0.09572277060864141,5,0.6966901302169975,0.02709283858994882,5,-0.20517911228560898,0.08246419063395198,5
GPT-4.1,Zooniverse,Syntactic,5,3.0,0.0,9.4,0.5477225575051661,5.0,0.0,124.6,0.5477225575051661,0.2423076923076923,0.010533126105868573,5,0.375,0.0,5,0.29428571428571426,0.007824607964359518,5,0.9298507462686567,0.004087481772426625,5,0.8985915492957747,0.0038572011091913055,5,0.6524253731343284,0.0020437408862133428,5,0.07014925373134329,0.004087481772426609,5,0.625,0.0,5,0.9614192009540847,0.0001633042807111317,5,0.2491727542261243,0.00823188682830886,5
GPT-5.2,BADCamp,Pragmatic,5,22.2,4.8166378315169185,74.2,6.340346993658943,13.8,4.8166378315169185,260.8,6.340346993658943,0.22926571242395696,0.036085074652338164,5,0.6166666666666667,0.1337954953199144,5,0.3337888799234968,0.05644277332742572,5,0.7785074626865671,0.01892640893629535,5,0.7628032345013477,0.01828121289252092,5,0.6975870646766169,0.06483952778489638,5,0.22149253731343282,0.018926408936295356,5,0.38333333333333336,0.1337954953199144,5,0.9500512378259863,0.01674045564115328,5,0.26609714525333744,0.08185956196945694,5
GPT-5.2,BADCamp,Semantic,5,42.8,2.6832815729997477,7.6,1.949358868961793,14.2,2.6832815729997477,169.4,1.949358868961793,0.8507324049116501,0.028451294519677338,5,0.7508771929824561,0.04707511531578506,5,0.7965362026194829,0.0218425798133786,5,0.9570621468926553,0.011013326943286989,5,0.9068376068376068,0.008220249599004819,5,0.8539696699375557,0.02008606195314168,5,0.04293785310734463,0.011013326943286965,5,0.24912280701754386,0.047075115315785045,5,0.9228833213151171,0.013070799360320505,5,0.7397646229435458,0.024911726038385543,5
GPT-5.2,BADCamp,Syntactic,5,4.4,0.5477225575051661,6.0,0.7071067811865476,4.6,0.5477225575051661,170.0,0.7071067811865476,0.42343434343434344,0.04031809039906528,5,0.4888888888888889,0.060858061945018485,5,0.45309941520467834,0.04560916153301895,5,0.9659090909090909,0.004017652165832653,5,0.9427027027027027,0.004834741572972512,5,0.7273989898989899,0.03049526697960413,5,0.03409090909090909,0.004017652165832657,5,0.5111111111111111,0.060858061945018485,5,0.9736613673682639,0.003060411831994849,5,0.42466995594772,0.048445389184664914,5
GPT-5.2,PlanningPoker,Pragmatic,5,7.0,0.0,52.0,1.4142135623730951,0.0,0.0,238.0,1.4142135623730951,0.1186993345432547,0.002882258312931623,5,1.0,0.0,5,0.21220005740528128,0.004599728017138515,5,0.8206896551724138,0.004876598490941717,5,0.8249158249158249,0.004761661826172016,5,0.9103448275862068,0.0024382992454708386,5,0.1793103448275862,0.004876598490941707,5,0.0,0.0,5,1.0,0.0,5,0.31210385207344377,0.004709747967506877,5
GPT-5.2,PlanningPoker,Semantic,5,21.6,3.646916505762094,27.8,5.495452665613635,6.4,3.646916505762094,142.2,5.495452665613635,0.4382309349009249,0.04049163764449193,5,0.7714285714285715,0.13024701806293193,5,0.5561514028339349,0.057210867738447385,5,0.8364705882352941,0.03232619215066845,5,0.8272727272727273,0.02241650608199207,5,0.8039495798319328,0.057029089974432505,5,0.1635294117647059,0.03232619215066843,5,0.22857142857142856,0.1302470180629319,5,0.9577214906549992,0.021995873572659825,5,0.4900266867564691,0.07626585510239907,5
GPT-5.2,PlanningPoker,Syntactic,5,0.0,0.0,3.4,0.5477225575051661,8.0,0.0,138.6,0.5477225575051661,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.976056338028169,0.0038572011091913055,5,0.924,0.00365148371670107,5,0.4880281690140845,0.0019286005545956528,5,0.023943661971830985,0.003857201109191311,5,1.0,0.0,5,0.9454291305563322,0.00020416459137274662,5,-0.0360598282470846,0.0029464473034284252,5
