model,criterion,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
DeepSeek-V4-Pro,Uniform,3,0.6666666666666666,0.30550504633038933,0.4,1.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.9770440251572327,0.02524943794483754,0.95,1.0,0.022955974842767308,0.02524943794483754,0.0,0.050000000000000044,0.11545299938158042,0.1686320670965064,-0.0037878787878641335,0.23469387755102497
DeepSeek-V4-Pro,Unique,3,0.8833333333333333,0.202072594216369,0.65,1.0,0.7777777777777778,0.3849001794597505,0.3333333333333333,1.0,0.9800995024875622,0.03446867278744031,0.9402985074626866,1.0,0.019900497512437793,0.03446867278744031,0.0,0.05970149253731338,0.8877947481243301,0.1586821889720615,0.7755894962486602,1.0
DeepSeek-V4-Pro,Well-formed,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GPT-4.1,Atomic,3,0.9655677655677656,0.030321175218424746,0.9428571428571428,1.0,0.9267399267399268,0.07149897910601884,0.8571428571428571,1.0,0.9878209348255431,0.01076220060847388,0.9795918367346939,1.0,0.012179065174456882,0.01076220060847388,0.0,0.020408163265306145,0.9672873885948741,0.000455860013126664,0.9669650468883204,0.9676097303014277
GPT-4.1,Complete,3,0.5436507936507936,0.396715064026688,0.28095238095238095,1.0,0.3333333333333333,0.5773502691896257,0.0,1.0,0.9488995699468757,0.06153213013340001,0.8805970149253731,1.0,0.05110043005312422,0.06153213013340001,0.0,0.11940298507462688,0.28550186297528707,0.18016633913545763,0.15810502283104974,0.4128987031195244
GPT-4.1,Conceptually sound,3,0.8217210567210567,0.19588053842405123,0.6,0.9712987012987012,0.6032634032634032,0.5257333789728545,0.0,0.9636363636363636,0.9612980769230769,0.016934750672077916,0.95,0.9807692307692307,0.038701923076923106,0.016934750672077916,0.019230769230769273,0.050000000000000044,0.5858922659235851,0.5131068771027584,-0.0038610038610110216,0.929982495623906
GPT-4.1,Conflict-free,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
GPT-4.1,Estimatable,3,0.7642896047307812,0.18863640119410685,0.5480158730158731,0.8948529411764706,0.5985838779956427,0.32800566390079133,0.2222222222222222,0.8235294117647058,0.8917220990391722,0.0463924031411897,0.8409090909090909,0.9318181818181818,0.10827790096082779,0.0463924031411897,0.06818181818181823,0.15909090909090906,0.8225865271584846,0.13168366730454423,0.6708776595744679,0.9073236889692587
GPT-4.1,Full sentence,3,0.974967320261438,0.04335787315678947,0.9249019607843139,1.0,0.9583333333333334,0.07216878364870322,0.875,1.0,0.9846153846153847,0.02664693550105962,0.9538461538461539,1.0,0.015384615384615366,0.02664693550105962,0.0,0.0461538461538461,0.9742390615091946,0.036431468593156095,0.9484781230183892,1.0
GPT-4.1,Independent,3,0.7127842809364549,0.25626867330046393,0.5075000000000001,1.0,0.4755244755244755,0.4580819925919529,0.15384615384615385,1.0,0.7824858757062146,0.2562537733599232,0.5,1.0,0.21751412429378533,0.2562537733599232,0.0,0.5,0.6042433564273983,0.02275648365331809,0.5881520925201763,0.6203346203346204
GPT-4.1,Minimal,3,0.9011111111111111,0.17128057985958897,0.7033333333333334,1.0,0.7777777777777778,0.3849001794597505,0.3333333333333333,1.0,0.9753086419753086,0.042766686606638946,0.9259259259259259,1.0,0.024691358024691357,0.042766686606638946,0.0,0.07407407407407407,0.8098926245379331,0.0,0.8098926245379331,0.8098926245379331
GPT-4.1,Problem-oriented,3,0.6129428904428904,0.3069311052396818,0.25920745920745925,0.8087878787878788,0.4083333333333333,0.3538478957593691,0.0,0.625,0.8050295193152336,0.1355484022342238,0.6486486486486487,0.8888888888888888,0.1949704806847664,0.1355484022342238,0.11111111111111116,0.3513513513513513,0.6023514901946622,0.40226207813249687,0.13838988689288037,0.8535547396528704
GPT-4.1,Unambiguous,3,0.8235152182760879,0.15462989693966867,0.7118154960981048,1.0,0.6467236467236468,0.31766062369837844,0.38461538461538464,1.0,0.867056042275066,0.16224132016194853,0.6862745098039216,1.0,0.13294395772493395,0.16224132016194853,0.0,0.3137254901960784,0.8438852898152049,0.14359211856126447,0.7174559959478284,1.0
