model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,Zooniverse,1,260,3,0,8,249,1.0,0.2727272727272727,0.42857142857142855,1.0,0.9692307692307692,0.6363636363636364,0.0,0.7272727272727273,0.9688715953307393,0.5140405702057712
DeepSeek-V4-Pro,Zooniverse,2,260,6,0,5,249,1.0,0.5454545454545454,0.7058823529411765,1.0,0.9807692307692307,0.7727272727272727,0.0,0.45454545454545453,0.9803149606299213,0.7312436333074527
DeepSeek-V4-Pro,Zooniverse,3,260,6,3,5,246,0.6666666666666666,0.5454545454545454,0.6,0.9879518072289156,0.9692307692307692,0.7667031763417305,0.012048192771084338,0.45454545454545453,0.9800796812749004,0.5873487980466632
DeepSeek-V4-Pro,Zooniverse,4,260,3,0,8,249,1.0,0.2727272727272727,0.42857142857142855,1.0,0.9692307692307692,0.6363636363636364,0.0,0.7272727272727273,0.9688715953307393,0.5140405702057712
DeepSeek-V4-Pro,Zooniverse,5,260,3,3,8,246,0.5,0.2727272727272727,0.35294117647058826,0.9879518072289156,0.9576923076923077,0.6303395399780942,0.012048192771084338,0.7272727272727273,0.968503937007874,0.34946984884974647
Gemini-3.1-Pro-Preview,BADCamp,1,321,9,1,2,309,0.9,0.8181818181818182,0.8571428571428571,0.9967741935483871,0.9906542056074766,0.9074780058651026,0.0032258064516129032,0.18181818181818182,0.9935691318327974,0.8533578006227391
Gemini-3.1-Pro-Preview,BADCamp,2,321,9,2,2,308,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9935483870967742,0.9875389408099688,0.9058651026392962,0.0064516129032258064,0.18181818181818182,0.9935483870967742,0.8117302052785924
Gemini-3.1-Pro-Preview,BADCamp,3,321,9,2,2,308,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9935483870967742,0.9875389408099688,0.9058651026392962,0.0064516129032258064,0.18181818181818182,0.9935483870967742,0.8117302052785924
Gemini-3.1-Pro-Preview,BADCamp,4,321,9,1,2,309,0.9,0.8181818181818182,0.8571428571428571,0.9967741935483871,0.9906542056074766,0.9074780058651026,0.0032258064516129032,0.18181818181818182,0.9935691318327974,0.8533578006227391
Gemini-3.1-Pro-Preview,BADCamp,5,321,9,1,2,309,0.9,0.8181818181818182,0.8571428571428571,0.9967741935483871,0.9906542056074766,0.9074780058651026,0.0032258064516129032,0.18181818181818182,0.9935691318327974,0.8533578006227391
Gemini-3.1-Pro-Preview,PlanningPoker,1,254,2,0,8,244,1.0,0.2,0.3333333333333333,1.0,0.968503937007874,0.6,0.0,0.8,0.9682539682539683,0.4400577162723017
Gemini-3.1-Pro-Preview,PlanningPoker,2,254,2,0,8,244,1.0,0.2,0.3333333333333333,1.0,0.968503937007874,0.6,0.0,0.8,0.9682539682539683,0.4400577162723017
Gemini-3.1-Pro-Preview,PlanningPoker,3,254,2,0,8,244,1.0,0.2,0.3333333333333333,1.0,0.968503937007874,0.6,0.0,0.8,0.9682539682539683,0.4400577162723017
Gemini-3.1-Pro-Preview,PlanningPoker,4,254,2,2,8,242,0.5,0.2,0.2857142857142857,0.9918032786885246,0.9606299212598425,0.5959016393442623,0.00819672131147541,0.8,0.968,0.2996062990429766
Gemini-3.1-Pro-Preview,PlanningPoker,5,254,2,0,8,244,1.0,0.2,0.3333333333333333,1.0,0.968503937007874,0.6,0.0,0.8,0.9682539682539683,0.4400577162723017
