level,prompt_profile,model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,MCC_mean,MCC_sd
project,one_shot,DeepSeek-V4-Pro,PlanningPoker,5,36.0,2.6457513110645907,59.0,4.795831523312719,22.0,2.6457513110645907,572.0,4.795831523312719,0.379461618487825,0.03132634748452029,0.6206896551724138,0.045616401914906755,0.4708287677931414,0.036171219245195854,0.9064976228209192,0.007600366914917151,0.8824383164005806,0.009572500695408517,0.7635936389966664,0.025037443544088208,0.4248259822489439,0.041541540062680495
project,one_shot,DeepSeek-V4-Pro,Zooniverse,5,60.6,9.316651759081692,88.2,29.558416737031095,50.4,9.316651759081692,580.8,29.558416737031095,0.4233766063954743,0.12316063127586863,0.5459459459459459,0.08393379963136662,0.4710054591375295,0.08699829491344324,0.8681614349775785,0.04418298465923929,0.8223076923076924,0.04026335070009636,0.7070536904617623,0.048333351550417854,0.3755505064797669,0.10911299189550665
project,one_shot,Gemini-3.1-Pro-Preview,BADCamp,5,44.8,4.08656334834051,87.4,3.1304951684997055,89.2,4.08656334834051,675.6,3.1304951684997055,0.338610312585666,0.025161231255997885,0.33432835820895523,0.0304967414055262,0.3363954150171541,0.027508382130915398,0.8854521625163827,0.0041028770229354205,0.8031215161649945,0.006808665099042331,0.609890260362669,0.01622125590613475,0.2208696591268012,0.031124354036473713
project,one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,37.6,3.7815340802378072,65.4,4.722287581247038,20.4,3.7815340802378072,565.6,4.722287581247038,0.3650343417418023,0.031233377239505856,0.6482758620689655,0.06519886345237601,0.46682903217652666,0.0408883529469704,0.8963549920760696,0.007483815501183881,0.8754716981132076,0.009484069232339356,0.7723154270725177,0.03344239474293756,0.42402148403592604,0.04885644573599316
project,one_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,47.2,4.764451699828638,59.8,11.38859078200635,63.8,4.764451699828638,609.2,11.38859078200635,0.44400962788176584,0.04557973614662087,0.4252252252252252,0.042922988286744485,0.4330534546776966,0.035389058068817536,0.9106128550074738,0.017023304606885392,0.8415384615384616,0.014120035797188077,0.6679190401163495,0.02069644515686158,0.34209978052827117,0.04162670049890503
project,one_shot,GPT-5-Mini,BADCamp,5,42.8,2.4899799195977463,64.2,15.15585695366646,91.2,2.4899799195977463,698.8,15.15585695366646,0.40569435808149895,0.043570663920515326,0.31940298507462683,0.018581939698490653,0.35552444330744437,0.008411825841036369,0.9158584534731323,0.019863508458278462,0.8267558528428094,0.014333227156856343,0.6176307192738796,0.0035117259876773386,0.2607941750168746,0.021312409725656286
project,one_shot,GPT-5-Mini,PlanningPoker,5,28.6,3.9115214431215892,50.4,6.06630035524124,29.4,3.9115214431215892,580.6,6.06630035524124,0.36223778551296437,0.04234705128441657,0.4931034482758621,0.06744002488140671,0.4169794713896443,0.04978300981950986,0.9201267828843106,0.009613788201650169,0.8841799709724238,0.010128502944770924,0.7066151155800864,0.03371824664835213,0.3600328511683205,0.055153614993533565
project,one_shot,GPT-5-Mini,Zooniverse,5,50.4,6.841052550594828,42.0,6.96419413859206,60.6,6.841052550594828,627.0,6.96419413859206,0.5459333365118214,0.035998855907631036,0.454054054054054,0.061631104059412876,0.49424069127116166,0.045159120168605335,0.937219730941704,0.01040985670940517,0.8684615384615384,0.00927163319577669,0.6956368924978791,0.02884312618969618,0.42278732848541,0.04655182793921044
project,zero_shot,DeepSeek-V4-Pro,BADCamp,5,60.0,2.5495097567963922,57.4,11.823705003085962,74.0,2.5495097567963922,705.6,11.823705003085962,0.515274437076168,0.04842909612618011,0.4477611940298507,0.019026192214898457,0.4778265882921648,0.01908060948758923,0.9247706422018348,0.0154963368323538,0.8535117056856187,0.011840283654271325,0.6862659181158428,0.008283695552729757,0.39531865316048936,0.02817336540652221
project,zero_shot,DeepSeek-V4-Pro,PlanningPoker,5,34.8,3.7682887362833544,53.0,8.426149773176359,23.2,3.7682887362833544,578.0,8.426149773176359,0.3984320073623283,0.047836260465507964,0.6,0.06497049545316128,0.4780170616562013,0.051120215762124874,0.9160063391442155,0.013353644648456963,0.8894049346879536,0.014345908613238426,0.7580031695721077,0.03442758277651701,0.4306243584469346,0.05788288012449673
