prompt_profile,model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
zero_shot,DeepSeek-V4-Pro,BADCamp,2,345,12,5,13,315,0.7058823529411765,0.48,0.5714285714285714,0.984375,0.9478260869565217,0.7321875,0.015625,0.52,0.9603658536585366,0.5562274812877747
zero_shot,DeepSeek-V4-Pro,BADCamp,3,345,11,4,14,316,0.7333333333333333,0.44,0.55,0.9875,0.9478260869565217,0.71375,0.0125,0.56,0.9575757575757575,0.5434736758699876
zero_shot,DeepSeek-V4-Pro,BADCamp,4,345,10,3,15,317,0.7692307692307693,0.4,0.5263157894736842,0.990625,0.9478260869565217,0.6953125,0.009375,0.6,0.9548192771084337,0.5318195646563326
zero_shot,DeepSeek-V4-Pro,BADCamp,5,345,12,7,13,313,0.631578947368421,0.48,0.5454545454545454,0.978125,0.9420289855072463,0.7290625,0.021875,0.52,0.9601226993865031,0.5206470175844663
zero_shot,DeepSeek-V4-Pro,PlanningPoker,1,265,2,2,14,247,0.5,0.125,0.2,0.9919678714859438,0.939622641509434,0.5584839357429718,0.008032128514056224,0.875,0.946360153256705,0.22849463241524173
zero_shot,DeepSeek-V4-Pro,PlanningPoker,2,265,2,3,14,246,0.4,0.125,0.19047619047619047,0.9879518072289156,0.9358490566037736,0.5564759036144578,0.012048192771084338,0.875,0.9461538461538461,0.19773391844172047
zero_shot,DeepSeek-V4-Pro,PlanningPoker,3,265,11,6,5,243,0.6470588235294118,0.6875,0.6666666666666666,0.9759036144578314,0.9584905660377359,0.8317018072289157,0.024096385542168676,0.3125,0.9798387096774194,0.6448923083927348
zero_shot,DeepSeek-V4-Pro,PlanningPoker,4,265,2,2,14,247,0.5,0.125,0.2,0.9919678714859438,0.939622641509434,0.5584839357429718,0.008032128514056224,0.875,0.946360153256705,0.22849463241524173
zero_shot,DeepSeek-V4-Pro,PlanningPoker,5,265,4,2,12,247,0.6666666666666666,0.25,0.36363636363636365,0.9919678714859438,0.9471698113207547,0.6209839357429718,0.008032128514056224,0.75,0.9536679536679536,0.3874287646670148
zero_shot,DeepSeek-V4-Pro,Zooniverse,1,300,10,2,14,274,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9927536231884058,0.9466666666666667,0.7047101449275363,0.007246376811594203,0.5833333333333334,0.9513888888888888,0.5668167249454966
zero_shot,DeepSeek-V4-Pro,Zooniverse,2,300,6,5,18,271,0.5454545454545454,0.25,0.34285714285714286,0.9818840579710145,0.9233333333333333,0.6159420289855073,0.018115942028985508,0.75,0.9377162629757786,0.33472318078071495
zero_shot,DeepSeek-V4-Pro,Zooniverse,3,300,8,0,16,276,1.0,0.3333333333333333,0.5,1.0,0.9466666666666667,0.6666666666666666,0.0,0.6666666666666666,0.9452054794520548,0.5613096232478871
zero_shot,DeepSeek-V4-Pro,Zooniverse,4,300,11,0,13,276,1.0,0.4583333333333333,0.6285714285714286,1.0,0.9566666666666667,0.7291666666666666,0.0,0.5416666666666666,0.9550173010380623,0.6616012870118818
zero_shot,DeepSeek-V4-Pro,Zooniverse,5,300,8,0,16,276,1.0,0.3333333333333333,0.5,1.0,0.9466666666666667,0.6666666666666666,0.0,0.6666666666666666,0.9452054794520548,0.5613096232478871
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,1,345,13,2,12,318,0.8666666666666667,0.52,0.65,0.99375,0.9594202898550724,0.756875,0.00625,0.48,0.9636363636363636,0.6531218736332307
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,2,345,11,1,14,319,0.9166666666666666,0.44,0.5945945945945946,0.996875,0.9565217391304348,0.7184375,0.003125,0.56,0.9579579579579579,0.6181436992179754
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,3,345,11,1,14,319,0.9166666666666666,0.44,0.5945945945945946,0.996875,0.9565217391304348,0.7184375,0.003125,0.56,0.9579579579579579,0.6181436992179754
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,4,345,11,1,14,319,0.9166666666666666,0.44,0.5945945945945946,0.996875,0.9565217391304348,0.7184375,0.003125,0.56,0.9579579579579579,0.6181436992179754
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,5,345,11,1,14,319,0.9166666666666666,0.44,0.5945945945945946,0.996875,0.9565217391304348,0.7184375,0.003125,0.56,0.9579579579579579,0.6181436992179754
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,1,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,2,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,3,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,4,265,9,0,7,249,1.0,0.5625,0.72,1.0,0.9735849056603774,0.78125,0.0,0.4375,0.97265625,0.7396750236590391
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,265,9,0,7,249,1.0,0.5625,0.72,1.0,0.9735849056603774,0.78125,0.0,0.4375,0.97265625,0.7396750236590391
zero_shot,Gemini-3.1-Pro-Preview,Zooniverse,1,300,11,6,13,270,0.6470588235294118,0.4583333333333333,0.5365853658536586,0.9782608695652174,0.9366666666666666,0.7182971014492754,0.021739130434782608,0.5416666666666666,0.9540636042402827,0.5122953905673477
