model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,Uniform,5,1.2,1.6431676725154984,0.2,0.4472135954999579,1.8,1.6431676725154984,178.8,0.4472135954999579,0.875,0.1767766952966369,2,0.4,0.5477225575051661,5,0.37142857142857144,0.5111012519999519,5,0.9988826815642458,0.0024983999748601224,5,0.9890109890109889,0.0077704041888631906,5,0.6994413407821229,0.27309808876519215,5,0.00111731843575419,0.0024983999748601003,5,0.6,0.5477225575051661,5,0.99010989010989,0.00902839380503024,5,0.9318014751786756,0.09644727873615502,2
DeepSeek-V4-Pro,Unique,5,4.0,0.0,4.8,1.7888543819998317,0.0,0.0,167.2,1.7888543819998317,0.47333333333333333,0.11642832797715318,5,1.0,0.0,5,0.6361904761904762,0.10042991486829769,5,0.9720930232558139,0.01040031617441759,5,0.9727272727272728,0.010163945352271763,5,0.9860465116279069,0.0052001580872088225,5,0.027906976744186046,0.010400316174417626,5,0.0,0.0,5,1.0,0.0,5,0.674910221716888,0.08352742019758116,5
DeepSeek-V4-Pro,Well-formed,5,0.0,0.0,1.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,5,,,0,0.0,0.0,5,0.9945054945054945,0.0,5,0.9945054945054945,0.0,5,,,0,0.005494505494505495,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Atomic,5,5.0,0.0,14.2,0.8366600265340756,0.0,0.0,142.8,0.8366600265340756,0.2608187134502924,0.01153952471384276,5,1.0,0.0,5,0.4136231884057971,0.014469183732429324,5,0.9095541401273886,0.00532904475499411,5,0.9123456790123456,0.005164568065025127,5,0.9547770700636943,0.002664522377497055,5,0.09044585987261146,0.005329044754994117,5,0.0,0.0,5,1.0,0.0,5,0.48699017889294455,0.012169316331425999,5
GPT-4.1,Complete,5,0.0,0.0,4.2,1.4832396974191326,0.0,0.0,173.8,1.4832396974191326,0.0,0.0,5,,,0,0.0,0.0,5,0.9764044943820225,0.008332807288871502,5,0.9764044943820225,0.008332807288871502,5,,,0,0.023595505617977526,0.008332807288871532,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Conceptually sound,5,1.0,0.0,66.4,2.073644135332772,0.0,0.0,108.6,2.073644135332772,0.014847994315872318,0.0004550904670191941,5,1.0,0.0,5,0.029261196786700996,0.000883784421038262,5,0.6205714285714286,0.01184939505904438,5,0.6227272727272727,0.011782068950754404,5,0.8102857142857143,0.005924697529522186,5,0.37942857142857145,0.01184939505904441,5,0.0,0.0,5,1.0,0.0,5,0.09598955126429409,0.002387554049399322,5
GPT-4.1,Conflict-free,5,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Estimatable,5,21.2,1.4832396974191326,11.8,2.280350850198276,15.8,1.4832396974191326,80.2,2.280350850198276,0.6450174305013014,0.03141514765188288,5,0.572972972972973,0.0400875593897063,5,0.6053247582175866,0.01484368927801176,5,0.8717391304347826,0.02478642228476387,5,0.786046511627907,0.008838569186815005,5,0.7223560517038777,0.01036061951329188,5,0.1282608695652174,0.024786422284763875,5,0.42702702702702705,0.04008755938970629,5,0.8356771939609166,0.009440272879536322,5,0.4620925308806359,0.01569343983457892,5
GPT-4.1,Full sentence,5,8.0,0.0,9.2,0.8366600265340756,0.0,0.0,159.8,0.8366600265340756,0.46601307189542485,0.023061802306375632,5,1.0,0.0,5,0.6354871794871795,0.02133727774185982,5,0.9455621301775148,0.004950651044580301,5,0.9480225988700565,0.004726892805277273,5,0.9727810650887574,0.002475325522290124,5,0.054437869822485205,0.004950651044580328,5,0.0,0.0,5,1.0,0.0,5,0.6636816840796974,0.018104087647371463,5
GPT-4.1,Independent,5,3.0,0.0,24.4,11.781341180018513,0.0,0.0,128.6,11.781341180018513,0.1602065826330532,0.15028413896861784,5,1.0,0.0,5,0.25619705490673234,0.19276234359033229,5,0.8405228758169935,0.07700222993476151,5,0.8435897435897436,0.07552141782063149,5,0.9202614379084968,0.03850111496738079,5,0.15947712418300652,0.07700222993476152,5,0.0,0.0,5,1.0,0.0,5,0.3483964597285947,0.16718235510291074,5
GPT-4.1,Minimal,5,4.4,1.3416407864998738,0.2,0.4472135954999579,15.6,1.3416407864998738,112.8,0.4472135954999579,0.9666666666666667,0.07453559924999298,5,0.22,0.0670820393249937,5,0.3532867132867133,0.09608503577283493,5,0.9982300884955753,0.003957642438052731,5,0.881203007518797,0.009803311887522754,5,0.6091150442477876,0.03310181101856669,5,0.0017699115044247787,0.003957642438052725,5,0.78,0.0670820393249937,5,0.8785845367253712,0.008947114126550458,5,0.423674804815138,0.07639303330175153,5
GPT-4.1,Problem-oriented,5,26.6,2.9664793948382653,1.6,0.5477225575051661,56.4,2.9664793948382653,55.4,0.5477225575051661,0.9422400284900285,0.022056728221740568,5,0.3204819277108434,0.03574071560046102,5,0.4776333747405896,0.04154948122985667,5,0.9719298245614035,0.009609167675529199,5,0.5857142857142857,0.023690177073967148,5,0.6462058761361235,0.0210436527292215,5,0.02807017543859649,0.00960916767552923,5,0.6795180722891566,0.035740715600461,5,0.4958012040918422,0.014915920878288759,5,0.3577167735538312,0.039615395727723976,5
GPT-4.1,Unambiguous,5,16.6,1.949358868961793,15.8,5.06951674225463,33.4,1.949358868961793,78.2,5.06951674225463,0.5244479773891538,0.09472843915962213,5,0.332,0.03898717737923586,5,0.4030048708984178,0.03590173464282299,5,0.8319148936170213,0.05393102917292158,5,0.6583333333333333,0.0330864701376989,5,0.5819574468085106,0.027302689414287682,5,0.16808510638297872,0.0539310291729216,5,0.668,0.03898717737923587,5,0.7005057784221259,0.014981630923341585,5,0.19136169206432682,0.0749792316165174,5
GPT-4.1,Uniform,5,0.0,0.0,9.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.9497206703910615,0.0,5,0.9340659340659341,0.0,5,0.4748603351955307,0.0,5,0.05027932960893855,0.0,5,1.0,0.0,5,0.9826589595375722,0.0,5,-0.029527883249097702,0.0,5
GPT-4.1,Unique,5,2.4,0.5477225575051661,0.8,1.0954451150103321,1.6,0.5477225575051661,171.2,1.0954451150103321,0.82,0.24899799195977465,5,0.6,0.13693063937629152,5,0.6714285714285714,0.12643731473668335,5,0.9953488372093023,0.006368866947734501,5,0.9863636363636363,0.006478269460790541,5,0.7976744186046512,0.068007104025571,5,0.004651162790697674,0.00636886694773449,5,0.4,0.13693063937629152,5,0.9907510574477891,0.0031360880656444014,5,0.684060325673793,0.1338753457584178,5
GPT-4.1,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-5.2,Atomic,5,5.0,0.0,17.4,2.8809720581775866,0.0,0.0,139.6,2.8809720581775866,0.2260805860805861,0.02788114914970199,5,1.0,0.0,5,0.3681058726220017,0.03737883937670857,5,0.889171974522293,0.018350140497946407,5,0.8925925925925926,0.017783778136898704,5,0.9445859872611465,0.009175070248973204,5,0.11082802547770701,0.018350140497946407,5,0.0,0.0,5,1.0,0.0,5,0.44787111599487084,0.03249873930478029,5
