model,project,run,criteria_with_defined_f1,macro_F1,micro_F1,micro_precision,micro_recall
Gemini-3.1-Pro-Preview,Zooniverse,5,10,0.25050707850707854,0.4861111111111111,0.4666666666666667,0.5072463768115942
GPT-4.1,BADCamp,1,11,0.5174827033678708,0.5263157894736842,0.5681818181818182,0.49019607843137253
GPT-4.1,BADCamp,2,11,0.3539806517131252,0.4293193717277487,0.4606741573033708,0.4019607843137255
GPT-4.1,BADCamp,3,11,0.469957849636994,0.5025125628140703,0.5154639175257731,0.49019607843137253
GPT-4.1,BADCamp,4,11,0.45139084698428306,0.4583333333333333,0.4888888888888889,0.43137254901960786
GPT-4.1,BADCamp,5,11,0.45384768740031894,0.4731182795698925,0.5238095238095238,0.43137254901960786
GPT-4.1,PlanningPoker,1,6,0.37575757575757573,0.5294117647058824,0.72,0.4186046511627907
GPT-4.1,PlanningPoker,2,7,0.45692803437164337,0.4897959183673469,0.43636363636363634,0.5581395348837209
GPT-4.1,PlanningPoker,3,6,0.4305916305916306,0.3764705882352941,0.38095238095238093,0.37209302325581395
GPT-4.1,PlanningPoker,4,6,0.3811965811965812,0.46938775510204084,0.41818181818181815,0.5348837209302325
GPT-4.1,PlanningPoker,5,6,0.3918803418803419,0.4842105263157895,0.4423076923076923,0.5348837209302325
GPT-4.1,Zooniverse,1,8,0.2749417249417249,0.21818181818181817,0.1875,0.2608695652173913
GPT-4.1,Zooniverse,2,9,0.2401072124756335,0.22099447513812154,0.17857142857142858,0.2898550724637681
GPT-4.1,Zooniverse,3,8,0.32017045454545456,0.31351351351351353,0.25,0.42028985507246375
GPT-4.1,Zooniverse,4,8,0.28402777777777777,0.24444444444444444,0.1981981981981982,0.3188405797101449
GPT-4.1,Zooniverse,5,9,0.2247465886939571,0.20430107526881722,0.1623931623931624,0.2753623188405797
GPT-5.2,BADCamp,1,10,0.48799097520836654,0.5461254612546126,0.4378698224852071,0.7254901960784313
GPT-5.2,BADCamp,2,11,0.45102147257970143,0.5517241379310345,0.4528301886792453,0.7058823529411765
GPT-5.2,BADCamp,3,11,0.4388998925539232,0.5296442687747036,0.44370860927152317,0.6568627450980392
GPT-5.2,BADCamp,4,11,0.4171645770121754,0.48221343873517786,0.40397350993377484,0.5980392156862745
GPT-5.2,BADCamp,5,11,0.49292872199570764,0.5658914728682171,0.46794871794871795,0.7156862745098039
GPT-5.2,PlanningPoker,1,11,0.20152788388082507,0.3194444444444444,0.22772277227722773,0.5348837209302325
GPT-5.2,PlanningPoker,2,10,0.26804099222912214,0.39751552795031053,0.2711864406779661,0.7441860465116279
GPT-5.2,PlanningPoker,3,10,0.231131221719457,0.3614457831325301,0.24390243902439024,0.6976744186046512
GPT-5.2,PlanningPoker,4,10,0.23797336894032123,0.3924050632911392,0.26956521739130435,0.7209302325581395
GPT-5.2,PlanningPoker,5,10,0.26288798920377865,0.3724137931034483,0.2647058823529412,0.627906976744186
GPT-5.2,Zooniverse,1,10,0.2706889935461364,0.2891566265060241,0.2,0.5217391304347826
GPT-5.2,Zooniverse,2,10,0.26315079365079364,0.3288888888888889,0.23717948717948717,0.5362318840579711
GPT-5.2,Zooniverse,3,10,0.2801962481962482,0.2901960784313726,0.1989247311827957,0.5362318840579711
GPT-5.2,Zooniverse,4,10,0.2608888888888889,0.2578397212543554,0.16972477064220184,0.5362318840579711
GPT-5.2,Zooniverse,5,10,0.2791800930898675,0.2647058823529412,0.17733990147783252,0.5217391304347826
AQUSA,PlanningPoker,1,4,0.045454545454545456,0.13333333333333333,0.2,0.1
