prompt_profile,model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,FPR_mean,FPR_sd,FNR_mean,FNR_sd,NPV_mean,NPV_sd,MCC_mean,MCC_sd
one_shot,DeepSeek-V4-Pro,PlanningPoker,5,36.0,2.6457513110645907,59.0,4.795831523312719,22.0,2.6457513110645907,572.0,4.795831523312719,0.379461618487825,0.03132634748452029,0.6206896551724138,0.045616401914906755,0.4708287677931414,0.036171219245195854,0.9064976228209192,0.007600366914917151,0.8824383164005806,0.009572500695408517,0.7635936389966664,0.025037443544088208,0.09350237717908083,0.007600366914917143,0.3793103448275862,0.04561640191490673,0.9629620903818112,0.004460592279336957,0.4248259822489439,0.041541540062680495
one_shot,DeepSeek-V4-Pro,Zooniverse,5,60.6,9.316651759081692,88.2,29.558416737031095,50.4,9.316651759081692,580.8,29.558416737031095,0.4233766063954743,0.12316063127586863,0.5459459459459459,0.08393379963136662,0.4710054591375295,0.08699829491344324,0.8681614349775785,0.04418298465923929,0.8223076923076924,0.04026335070009636,0.7070536904617623,0.048333351550417854,0.13183856502242153,0.044182984659239304,0.454054054054054,0.0839337996313666,0.920171162795157,0.014359410150934634,0.3755505064797669,0.10911299189550665
one_shot,GPT-5-Mini,BADCamp,5,42.8,2.4899799195977463,64.2,15.15585695366646,91.2,2.4899799195977463,698.8,15.15585695366646,0.40569435808149895,0.043570663920515326,0.31940298507462683,0.018581939698490653,0.35552444330744437,0.008411825841036369,0.9158584534731323,0.019863508458278462,0.8267558528428094,0.014333227156856343,0.6176307192738796,0.0035117259876773386,0.08414154652686763,0.019863508458278455,0.6805970149253732,0.01858193969849065,0.8845645531084367,0.0010480715245732145,0.2607941750168746,0.021312409725656286
one_shot,GPT-5-Mini,PlanningPoker,5,28.6,3.9115214431215892,50.4,6.06630035524124,29.4,3.9115214431215892,580.6,6.06630035524124,0.36223778551296437,0.04234705128441657,0.4931034482758621,0.06744002488140671,0.4169794713896443,0.04978300981950986,0.9201267828843106,0.009613788201650169,0.8841799709724238,0.010128502944770924,0.7066151155800864,0.03371824664835213,0.07987321711568937,0.009613788201650137,0.506896551724138,0.06744002488140671,0.9518336424808498,0.006016152841567746,0.3600328511683205,0.055153614993533565
one_shot,GPT-5-Mini,Zooniverse,5,50.4,6.841052550594828,42.0,6.96419413859206,60.6,6.841052550594828,627.0,6.96419413859206,0.5459333365118214,0.035998855907631036,0.454054054054054,0.061631104059412876,0.49424069127116166,0.045159120168605335,0.937219730941704,0.01040985670940517,0.8684615384615384,0.00927163319577669,0.6956368924978791,0.02884312618969618,0.06278026905829596,0.01040985670940517,0.5459459459459459,0.06163110405941288,0.9119623206335765,0.008719571843752614,0.42278732848541,0.04655182793921044
one_shot,Gemini-3.1-Pro-Preview,BADCamp,5,44.8,4.08656334834051,87.4,3.1304951684997055,89.2,4.08656334834051,675.6,3.1304951684997055,0.338610312585666,0.025161231255997885,0.33432835820895523,0.0304967414055262,0.3363954150171541,0.027508382130915398,0.8854521625163827,0.0041028770229354205,0.8031215161649945,0.006808665099042331,0.609890260362669,0.01622125590613475,0.1145478374836173,0.004102877022935394,0.6656716417910448,0.030496741405526172,0.8833811996948497,0.004938425979358058,0.2208696591268012,0.031124354036473713
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,37.6,3.7815340802378072,65.4,4.722287581247038,20.4,3.7815340802378072,565.6,4.722287581247038,0.3650343417418023,0.031233377239505856,0.6482758620689655,0.06519886345237601,0.46682903217652666,0.0408883529469704,0.8963549920760696,0.007483815501183881,0.8754716981132076,0.009484069232339356,0.7723154270725177,0.03344239474293756,0.10364500792393025,0.007483815501183894,0.35172413793103446,0.06519886345237598,0.9652115929978005,0.006282771768836275,0.42402148403592604,0.04885644573599316
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,47.2,4.764451699828638,59.8,11.38859078200635,63.8,4.764451699828638,609.2,11.38859078200635,0.44400962788176584,0.04557973614662087,0.4252252252252252,0.042922988286744485,0.4330534546776966,0.035389058068817536,0.9106128550074738,0.017023304606885392,0.8415384615384616,0.014120035797188077,0.6679190401163495,0.02069644515686158,0.08938714499252616,0.017023304606885423,0.5747747747747748,0.04292298828674446,0.9052372411339492,0.0061227791483354135,0.34209978052827117,0.04162670049890503
zero_shot,DeepSeek-V4-Pro,BADCamp,5,60.0,2.5495097567963922,57.4,11.823705003085962,74.0,2.5495097567963922,705.6,11.823705003085962,0.515274437076168,0.04842909612618011,0.4477611940298507,0.019026192214898457,0.4778265882921648,0.01908060948758923,0.9247706422018348,0.0154963368323538,0.8535117056856187,0.011840283654271325,0.6862659181158428,0.008283695552729757,0.07522935779816514,0.015496336832353819,0.5522388059701493,0.01902619221489845,0.9050874369932652,0.002443494099339817,0.39531865316048936,0.02817336540652221
zero_shot,DeepSeek-V4-Pro,PlanningPoker,5,34.8,3.7682887362833544,53.0,8.426149773176359,23.2,3.7682887362833544,578.0,8.426149773176359,0.3984320073623283,0.047836260465507964,0.6,0.06497049545316128,0.4780170616562013,0.051120215762124874,0.9160063391442155,0.013353644648456963,0.8894049346879536,0.014345908613238426,0.7580031695721077,0.03442758277651701,0.08399366085578447,0.01335364464845699,0.4,0.06497049545316129,0.9614213813997186,0.006157540085439414,0.4306243584469346,0.05788288012449673
zero_shot,DeepSeek-V4-Pro,Zooniverse,5,55.8,5.449770637375485,92.0,5.1478150704935,55.2,5.449770637375485,577.0,5.1478150704935,0.37740689986600084,0.0336210375809336,0.5027027027027027,0.04909703276914851,0.43106808018643167,0.039537273712673744,0.8624813153961137,0.007694790837807911,0.8112820512820512,0.01250903683861582,0.6825920090494082,0.02736291878970744,0.13751868460388642,0.007694790837807921,0.49729729729729727,0.049097032769148494,0.9127033468572734,0.008376727806666135,0.32547426177503724,0.04770721611152388
zero_shot,GPT-5-Mini,BADCamp,5,46.6,6.877499545619759,52.6,13.95707705789432,87.4,6.877499545619759,710.4,13.95707705789432,0.47366097504556803,0.0487990793202961,0.34776119402985073,0.051324623474774324,0.3986478058545234,0.03910275977624463,0.9310615989515073,0.018292368358970253,0.8439241917502788,0.01238913643862478,0.639411396490679,0.021265199018133934,0.06893840104849279,0.01829236835897028,0.6522388059701493,0.05132462347477431,0.8905344606768748,0.006643972553000289,0.317964048643336,0.04080411182759596
zero_shot,GPT-5-Mini,PlanningPoker,5,31.2,3.63318042491699,47.2,10.009995004993758,26.8,3.63318042491699,583.8,10.009995004993758,0.40216680579694275,0.062251974548738334,0.5379310344827586,0.06264104180891361,0.4587648397732592,0.05707315311406386,0.9251980982567354,0.015863700483349882,0.8925979680696662,0.01599811878450551,0.731564566369747,0.03315448944534306,0.07480190174326466,0.015863700483349855,0.46206896551724136,0.0626410418089136,0.9561187048928266,0.005801154810110073,0.4068423383978009,0.06335133751658457
zero_shot,GPT-5-Mini,Zooniverse,5,57.6,5.412947441089743,97.6,30.80259729308553,53.4,5.412947441089743,571.4,30.80259729308553,0.3863129146631186,0.08644661625580186,0.518918918918919,0.048765292262069763,0.4358892533720928,0.03740350891458024,0.8541106128550074,0.04604274632748209,0.8064102564102564,0.03463911816950333,0.6865147658869633,0.01700719736006176,0.14588938714499253,0.046042746327482106,0.48108108108108105,0.048765292262069784,0.9146265719957626,0.005656927887971752,0.3331824192958213,0.05395996698241314
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,5,46.2,2.7748873851023217,83.0,5.291502622129181,87.8,2.7748873851023217,680.0,5.291502622129181,0.3577372059059153,0.014561654149602414,0.3447761194029851,0.020708114814196443,0.3509247511729094,0.015157112407183822,0.891218872870249,0.006935127945123452,0.8095875139353399,0.005133049914479992,0.617997496136617,0.009152890688848479,0.10878112712975099,0.006935127945123435,0.655223880597015,0.02070811481419642,0.8856598669502797,0.0028999123210911963,0.23961701785549838,0.016571354342837484
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,36.2,3.492849839314596,61.6,8.294576541331088,21.8,3.492849839314596,569.4,8.294576541331088,0.37196742460893406,0.04700353302538366,0.6241379310344828,0.060221548953699966,0.4655880260147258,0.05072829284314045,0.902377179080824,0.013145129225564324,0.8789550072568941,0.014858036449427833,0.7632575550576535,0.0333531787869657,0.09762282091917591,0.013145129225564323,0.37586206896551727,0.06022154895369992,0.9631219661181868,0.00592081032091503,0.41985027070098707,0.0576296386119822
zero_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,45.4,0.5477225575051661,37.0,1.0,65.6,0.5477225575051661,632.0,1.0,0.5510138113429328,0.009485982734825482,0.409009009009009,0.0049344374550014765,0.4695048341434752,0.006626657117141325,0.9446935724962631,0.001494768310911776,0.8684615384615384,0.001944327036936288,0.6768512907526361,0.0031642292300026937,0.05530642750373692,0.0014947683109118072,0.590990990990991,0.004934437455001507,0.9059629274870197,0.0008360756569498241,0.4020357585786611,0.008099006714223145
